age,gender,marital_status,country,place_you_live_in,no_of_family_members_living_with,employment_type,current_industry,current_industry_other,"Number of employees in your organization",total_work_experience,work_experience_with_current_company,current_role_category,current_role_category_other,current_annual_salary,mode_of_working,how_many_days_you_go_to_office,how_many_days_personal_choice_or_prescribed_by_company,if_personal_choice_how_many_days_willing_to_work_in_office,total_commute_time_in_minutes,rating_wfh_hybrid_wfo,factors_influenced_wfo,factors_influenced_wfo_other,factors_influenced_hybrid,factors_influenced_hybrid_other,factors_influenced_wfh,factors_influenced_wfh_other,entry_id,entry_status,created_at
31,Male,Single,India,Metro,0,Government,Other,Def.,10000+,8,8,"Mid-Level Management",,20,"Complete work from office",6,"Prescribed by company",5,20,2,"Better interpersonal connect, Better infrastructure, Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Having a more physically active life, Better Productivity, Optimize Innovation & Collaboration",,,,,,242,unread,"2023-02-08 07:14:39"
30,Female,Married,India,Metro,6,Private,Technology,,10000+,8,2,"Mid-Level Management",,000000,"Complete work from office",5,"Prescribed by company",1,60,5,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation)",,,,241,unread,"2023-02-08 06:45:15"
47,Male,Married,India,Metro,3,Private,Technology,,1001-10000,20,20,"Mid-Level Management",,,"Complete work from home",,,,40,5,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation)",,,,240,unread,"2023-02-08 04:56:43"
30,Male,Married,India,Urban,4,Private,E-commerce,,1001-10000,14,1,"Mid-Level Management",,45,Hybrid,2,"Prescribed by company",0,90,10,,,,,"Avoid the long commute to office, Allows more time to spend with friends and family, Work life balance (Ex., better work life seperation), Get better sleep, Able to make healthier choices like exercising or preparing healthire meals",,239,unread,"2023-02-08 04:27:03"
30,Male,Single,India,"Semi Urban",3,Private,Other,"Renewable Energy",1-300,8,4.5,"Frontline Managers",,9,"Complete work from office",6,"Prescribed by company",5,540,5,,,"Work life balance (Ex., better work life seperation)",,,,238,unread,"2023-02-08 04:03:47"
25,Male,Single,India,Metro,0,Private,Finance,,10000+,0.67,0.67,"Frontline Managers",,,Hybrid,2,"Personal choice",,5,10,,,,,"Better focus on tasks & less distractions, Get better sleep, Able to make healthier choices like exercising or preparing healthire meals, Better Productivity",,237,unread,"2023-02-08 04:00:12"
44,Male,Married,India,Metro,3,Private,Manufacturing,,1001-10000,18,9,"Top Level Management",,,"Complete work from office",5,"Prescribed by company",5,90,0,"Better interpersonal connect, Better infrastructure, Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Having a more physically active life, Better Productivity, Optimize Innovation & Collaboration",,,,,,236,unread,"2023-02-08 03:44:51"
27,Male,Single,India,Metro,4,Private,Finance,,10000+,4,3,Associates,,,"Complete work from home",,,,0,10,,,,,"Avoid the long commute to office, Allows more time to spend with friends and family, Get better sleep, Better Productivity",,235,unread,"2023-02-08 03:43:37"
38,Male,Married,India,Metro,3,Private,Other,Infrastructure,1-300,15,7,"Mid-Level Management",,40,"Complete work from office",5,"Prescribed by company",3,180,5,,,"Get time to spend with colleagues as well as family, Not all days are as demanding to be in office, Sense of being empowered and trusted, Having a more physically active life",,,,234,unread,"2023-02-08 03:36:55"
34,Male,Married,India,Metro,4,Government,Finance,,10000+,8,7.5,"Mid-Level Management",,18,"Complete work from office",6,"Prescribed by company",0,60,2,"Better interpersonal connect, Having a more physically active life, Optimize Innovation & Collaboration",,,,,,233,unread,"2023-02-08 03:32:12"
35,Male,Married,India,Metro,2,Private,Educational,,1001-10000,12,1,"Frontline Managers",,20,Hybrid,2,"Prescribed by company",1,120,8,,,,,"Avoid the long commute to office, Allows more time to spend with friends and family, Work life balance (Ex., better work life seperation), Get better sleep, Able to make healthier choices like exercising or preparing healthire meals, Other","High room rent near commercial areas and high pollution",232,read,"2023-02-08 02:59:24"
30,Male,Married,India,Urban,4,Private,Technology,,10000+,8.3,1.5,"Frontline Managers",,,"Complete work from home",,,,0,5,,,"Get time to spend with colleagues as well as family, Work life balance (Ex., better work life seperation), Having a more physically active life",,,,231,unread,"2023-02-08 02:49:37"
30,Male,Married,India,Metro,2,Government,Other,Regulatory,10000+,8,4,"Frontline Managers",,16,"Complete work from office",5,"Prescribed by company",5,30,5,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Work life balance (Ex., better work life seperation), Sense of being empowered and trusted, Having a more physically active life, Better Productivity",,,,230,unread,"2023-02-08 02:37:48"
39,Male,Married,India,Urban,3,Private,Technology,,1-300,13,1,"Mid-Level Management",,,"Complete work from home",,,,0,5,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Work life balance (Ex., better work life seperation), Better Productivity",,,,229,unread,"2023-02-08 02:32:19"
38,Male,Married,India,Metro,1,"Self Employed",Finance,,301-1000,15,7,"Top Level Management",,,"Complete work from office",6,"Prescribed by company",6,25,10,,,,,Other,,228,unread,"2023-02-08 02:24:30"
26,Female,Single,India,Urban,0,Private,Technology,,1001-10000,4,3,Others,"IP Counsel",15,Hybrid,3,"Personal choice",,30,6,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation), Sense of being empowered and trusted, Having a more physically active life, Better Productivity",,,,227,unread,"2023-02-08 01:38:56"
24,Male,Single,India,Urban,3,Private,Technology,,10000+,3,2,Associates,,10,Hybrid,2,"Personal choice",,90,10,,,,,"Avoid the long commute to office, Allows more time to spend with friends and family, Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Get better sleep, Able to make healthier choices like exercising or preparing healthire meals, Better Productivity",,226,unread,"2023-02-07 19:38:04"
32,Male,Single,India,Urban,0,Private,Finance,,10000+,4,2,Associates,,15,Hybrid,2,"Prescribed by company",0,150,5,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation), Not all days are as demanding to be in office, Sense of being empowered and trusted, Having a more physically active life, Better Productivity",,,,225,unread,"2023-02-07 19:31:49"
29,Male,Single,India,Metro,4,Private,Technology,,10000+,4,1,Associates,,10,"Complete work from home",,,,40,10,,,,,"Avoid the long commute to office, Allows more time to spend with friends and family, Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Get better sleep, Able to make healthier choices like exercising or preparing healthire meals, Better Productivity",,224,unread,"2023-02-07 18:36:45"
38,Male,Married,India,Metro,3,Private,Technology,,301-1000,16,5,"Mid-Level Management",,,Hybrid,2,"Prescribed by company",2,120,8,,,,,"Avoid the long commute to office, Allows more time to spend with friends and family, Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Get better sleep, Able to make healthier choices like exercising or preparing healthire meals, Better Productivity",,223,unread,"2023-02-07 18:18:06"
23,Female,Single,India,Metro,2,Private,Technology,,10000+,3,1,Associates,,12,Hybrid,4,"Prescribed by company",3,80,6,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation), Having a more physically active life, Better Productivity",,,,222,unread,"2023-02-07 18:04:25"
25,Female,Single,India,Metro,0,Private,E-commerce,,1001-10000,2,1,"Top Level Management",,11,"Complete work from office",5,"Prescribed by company",3,60,8,,,,,"Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Able to make healthier choices like exercising or preparing healthire meals",,221,unread,"2023-02-07 17:58:17"
27,Male,Single,India,Metro,3,Private,Technology,,10000+,5,0.5,"Mid-Level Management",,23,Hybrid,1,"Prescribed by company",0,30,10,,,,,"Avoid the long commute to office, Allows more time to spend with friends and family, Work life balance (Ex., better work life seperation), Get better sleep, Able to make healthier choices like exercising or preparing healthire meals, Better Productivity",,220,unread,"2023-02-07 17:55:16"
59,Female,Married,India,Town,2,"Self Employed",Technology,,1-300,20,20,"Frontline Managers",,5,"Complete work from home",,,,0,10,,,,,"Avoid the long commute to office, Allows more time to spend with friends and family, Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Get better sleep",,219,unread,"2023-02-07 17:52:42"
24,Male,Single,India,Urban,3,Private,Technology,,10000+,2,2,Others,"Software developer",15,"Complete work from home",,,,0,10,,,,,"Work life balance (Ex., better work life seperation)",,218,unread,"2023-02-07 17:49:32"
54,Male,Married,India,Metro,4,Government,Healthcare,,10000+,22,21,Others,,15,"Complete work from office",6,"Prescribed by company",5,130,1,"Better interpersonal connect",,,,,,217,unread,"2023-02-07 17:48:20"
30,Male,Single,India,Urban,0,Private,Finance,,10000+,5,2,Associates,,15,Hybrid,2,"Personal choice",,60,10,,,,,"Avoid the long commute to office, Allows more time to spend with friends and family, Get better sleep, Able to make healthier choices like exercising or preparing healthire meals",,216,unread,"2023-02-07 17:42:12"
48,Male,Married,India,Urban,0,Government,Other,defence,1-300,25,25,"Mid-Level Management",,30,"Complete work from office",6,"Prescribed by company",5,10,7,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation), Sense of being empowered and trusted, Better Productivity",,,,215,unread,"2023-02-07 17:38:12"
24,Male,Single,India,Urban,0,Private,Technology,,1001-10000,3,3,Associates,,20,Hybrid,3,"Prescribed by company",5,35,0,"Better interpersonal connect, Better infrastructure, Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Having a more physically active life, Better Productivity, Optimize Innovation & Collaboration",,,,,,214,unread,"2023-02-07 17:37:32"
59,Male,Married,India,Metro,2,Government,Healthcare,,1-300,30,24,"Mid-Level Management",,30,"Complete work from office",7,"Prescribed by company",3,10,5,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Work life balance (Ex., better work life seperation), Better Productivity",,,,213,unread,"2023-02-07 17:28:13"
27,Female,Married,India,Metro,1,Private,Technology,,1001-10000,5,4,Associates,,,Hybrid,3,"Prescribed by company",2,60,7,,,"Flexibility - Better Control over work hours and work location, Work life balance (Ex., better work life seperation), Not all days are as demanding to be in office, Better Productivity",,,,212,unread,"2023-02-07 17:22:38"
26,Male,Single,India,Metro,0,Private,Technology,,10000+,2.5,1,"Frontline Managers",,9,Hybrid,3,"Personal choice",,40,5,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Work life balance (Ex., better work life seperation), Sense of being empowered and trusted, Having a more physically active life",,,,211,unread,"2023-02-07 17:22:10"
69,Non-binary,Widowed,India,Metro,7,"Self Employed","Real estate",,1-300,49,49,"Top Level Management",,100,"Complete work from office",5,"Personal choice",,10,1,"Better interpersonal connect, Better infrastructure, Better focus on tasks & less distractions, Having a more physically active life, Better Productivity, Optimize Innovation & Collaboration",,,,,,210,unread,"2023-02-07 17:19:02"
24,Male,Single,India,Urban,0,Private,Technology,,1001-10000,2,2,Others,"Software Developer",12,Hybrid,2,"Prescribed by company",3,30,7,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation), Not all days are as demanding to be in office, Sense of being empowered and trusted, Having a more physically active life, Better Productivity",,,,209,unread,"2023-02-07 17:14:37"
28,Female,Single,India,Metro,2,Private,Technology,,10000+,3,1,Associates,,12,Hybrid,3,"Prescribed by company",2,15,7,,,"Not all days are as demanding to be in office",,,,208,unread,"2023-02-07 17:12:40"
26,Male,Single,India,Metro,0,Private,Finance,,301-1000,1,1,Associates,,6.5,"Complete work from office",5,"Personal choice",,10,7,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation)",,,,207,unread,"2023-02-07 17:12:35"
25,Female,Single,India,Urban,0,Private,Finance,,10000+,0,1,Associates,,11,Hybrid,5,"Prescribed by company",5,40,5,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation), Not all days are as demanding to be in office, Sense of being empowered and trusted, Having a more physically active life, Better Productivity",,,,206,unread,"2023-02-07 17:11:37"
38,Male,Married,India,Metro,4,Private,Technology,,1001-10000,15,3,"Mid-Level Management",,22,Hybrid,2,"Prescribed by company",1,60,5,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation), Not all days are as demanding to be in office, Having a more physically active life, Better Productivity",,,,205,unread,"2023-02-07 17:08:30"
25,Male,Single,India,Town,4,Private,Technology,,10000+,2,2,Others,SDE,10,Hybrid,1,"Prescribed by company",1,60,9,,,,,"Avoid the long commute to office, Work life balance (Ex., better work life seperation), Better Productivity",,204,unread,"2023-02-07 17:08:16"
40,Male,Married,India,Urban,4,Private,Technology,,1001-10000,12,10,"Mid-Level Management",,30,"Complete work from office",6,"Prescribed by company",5,20,5,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Work life balance (Ex., better work life seperation), Better Productivity",,,,203,unread,"2023-02-07 16:54:17"
32,Male,Married,India,Metro,4,Private,Other,,1-300,8,3,"Mid-Level Management",,20,"Complete work from office",,,,120,1,,,,,,,202,unread,"2023-02-07 16:47:55"
41,Male,Married,India,Metro,4,Private,Technology,,1001-10000,21,15,"Mid-Level Management",,50,"Complete work from office",5,"Personal choice",,120,4,,,"Relatively less commute as compared to only working from office",,,,201,unread,"2023-02-07 16:06:47"
28,Male,Single,India,Metro,4,Private,Technology,,10000+,3,1,"Frontline Managers",,14,Hybrid,2,"Personal choice",,56,2,"Better interpersonal connect, Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Better Productivity, Optimize Innovation & Collaboration",,,,,,200,unread,"2023-02-07 15:55:07"
34,Male,Married,India,Urban,2,Private,Finance,,10000+,11,2,Associates,,37,Hybrid,3,"Prescribed by company",3,30,5,,,"Flexibility - Better Control over work hours and work location",,,,199,unread,"2023-02-07 15:00:52"
42,Female,Married,India,Metro,4,Private,Healthcare,,10000+,16,8,"Mid-Level Management",,19,"Complete work from office",5,"Prescribed by company",2,90,5,,,"Not all days are as demanding to be in office, Better Productivity",,,,198,unread,"2023-02-07 14:47:03"
25,Male,Single,India,Urban,0,Private,Technology,,10000+,5,5,Associates,,,"Complete work from home",,,,30,10,,,,,"Avoid the long commute to office, Allows more time to spend with friends and family, Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Get better sleep, Able to make healthier choices like exercising or preparing healthire meals, Better Productivity",,197,unread,"2023-02-07 14:34:19"
32,Male,Married,India,Metro,3,Private,Manufacturing,,1001-10000,10,1.2,"Mid-Level Management",,8,"Complete work from office",6,"Prescribed by company",1,90,1,"Better interpersonal connect, Better infrastructure, Better focus on tasks & less distractions, Better Productivity",,,,,,196,unread,"2023-02-07 13:34:26"
39,Male,Married,India,Urban,3,Private,Other,"Engineering services",10000+,16,16,"Mid-Level Management",,16,Hybrid,3,"Prescribed by company",3,90,5,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation), Not all days are as demanding to be in office, Sense of being empowered and trusted, Having a more physically active life, Better Productivity",,,,195,unread,"2023-02-07 13:29:30"
41,Male,Married,India,Metro,3,Private,Healthcare,,301-1000,7.5,1.5,"Top Level Management",,36,"Complete work from office",6,"Personal choice",,30,0,"Better focus on tasks & less distractions, Having a more physically active life, Better Productivity, Optimize Innovation & Collaboration",,,,,,194,unread,"2023-02-07 13:29:12"
